,SUBJECT,RATER,T1,atlas registration,REST1,REST2,REST3,REST4,MID1,MID2,SST1,SST2,nBack1,nBack2
0,subject_003841,user_0066,3,1,3,3,1,2,0,0,0,0,0,0
1,subject_004042,,2,2,1,1,1,2,1,1,1,1,2,1
2,subject_003842,,2,2,3,2,2,2,2,3,3,3,3,3
3,subject_000002,user_0064,2,2,2,2,2,2,2,2,2,2,2,2
4,subject_003843,,2,1,2,2,2,2,2,2,2,3,2,2
7,subject_000007,,1,1,1,1,1,1,1,1,1,1,1,1
8,subject_000011,,2,1,1,1,1,1,1,1,1,1,1,1
9,subject_003844,user_0064,3,3,2,2,2,3,2,2,3,3,3,3
10,subject_000013,,2,1,2,2,2,2,2,2,2,2,2,2
12,subject_000015,user_0066,3,1,1,1,1,2,1,1,2,1,1,1
13,subject_004043,,2,2,1,1,1,1,1,1,1,1,1,1
14,subject_000019,,1,2,2,2,2,2,2,2,3,2,2,2
15,subject_000020,,3,1,2,2,2,2,2,2,2,2,2,2
16,subject_003845,,3,2,2,2,2,2,2,2,2,2,2,2
17,subject_000025,user_0064,2,2,1,2,1,3,2,2,2,2,2,2
18,subject_000026,,2,2,2,2,2,2,0,0,2,0,0,0
19,subject_004044,,2,2,2,2,2,2,2,2,2,2,2,2
20,subject_003846,user_0066,3,1,1,1,1,1,0,0,0,0,0,0
21,subject_004045,user_0066,2,2,1,1,1,1,1,1,1,1,1,1
22,subject_000039,,1,2,1,1,2,1,1,1,1,1,1,1
23,subject_000043,,1,1,1,1,1,1,1,1,1,1,1,1
24,subject_004046,user_0066,2,1,1,0,0,0,0,0,0,0,0,0
25,subject_003847,,1,2,3,3,2,2,2,2,3,3,3,0
26,subject_000049,,2,2,1,1,1,1,2,2,2,2,2,2
29,subject_004047,,2,2,2,3,2,3,2,3,2,2,2,2
30,subject_000058,,3,2,1,2,2,2,2,2,2,2,2,2
32,subject_000060,,2,2,2,2,2,1,1,2,2,2,1,2
33,subject_004048,,1,1,2,2,2,2,2,2,2,2,2,2
34,subject_000063,,1,1,1,1,1,1,1,1,2,1,1,1
35,subject_000064,,1,1,1,1,1,1,1,1,1,1,1,1
36,subject_004049,,2,1,2,2,2,2,2,1,2,2,2,2
37,subject_000066,,3,2,2,2,2,2,2,2,2,2,2,2
38,subject_000067,,1,1,1,1,1,1,1,1,1,1,1,1
41,subject_000071,,2,1,2,2,2,2,2,2,2,2,2,2
42,subject_000075,user_0066,2,1,2,2,0,0,0,0,0,0,0,0
43,subject_004050,,2,1,2,2,2,2,2,2,2,2,2,2
45,subject_000083,user_0066,1,1,2,2,2,2,2,2,2,2,2,2
46,subject_000087,user_0066,1,2,1,1,1,1,1,1,1,1,1,1
47,subject_004051,user_0042,2,2,2,2,2,0,0,0,2,2,2,2
48,subject_000088,user_0044,1,1,1,1,1,1,1,1,1,1,1,1
50,subject_000094,,2,2,2,2,0,0,0,0,2,2,0,0
51,subject_000095,,3,2,2,2,2,2,2,2,0,0,0,0
52,subject_004052,,1,2,1,1,1,0,0,0,0,0,0,0
57,subject_000111,,2,2,2,2,2,0,0,0,0,0,0,0
58,subject_000112,user_0042,2,1,2,2,0,0,0,0,0,0,0,0
59,subject_000114,user_0044,2,1,1,1,1,1,1,1,1,1,1,1
61,subject_000116,user_0044,2,2,2,2,2,2,2,2,2,2,2,2
62,subject_000118,user_0044,1,1,2,2,2,2,2,2,2,2,2,2
63,subject_000119,user_0044,1,1,1,1,1,2,1,1,1,1,1,1
64,subject_000121,,2,2,2,2,2,0,2,2,0,0,2,2
65,subject_000122,,2,2,2,2,2,0,0,0,2,2,0,0
66,subject_000124,,1,2,2,2,2,2,2,2,2,2,2,2
68,subject_000131,user_0044,2,2,2,2,2,2,2,2,2,2,2,2
69,subject_000133,,2,3,2,2,2,2,0,0,2,2,0,0
70,subject_000136,,2,2,2,2,2,0,2,2,2,2,2,2
71,subject_004053,user_0044,2,1,1,1,1,1,2,2,2,2,2,2
73,subject_004054,,1,1,2,2,0,0,0,0,0,0,0,0
74,subject_000140,user_0044,1,1,1,1,1,1,1,1,1,1,1,1
75,subject_000141,user_0044,2,2,1,1,1,1,1,2,3,3,3,2
